instruction,output,input
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Polymetal предупредил об увеличении запаса слитков серебра на складах
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Polymetal переделает золоторудный проект под оборудование из Китая
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Polymetal казахстанской пробы // Компания может продать российские активы
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Polymetal допустил продажу российских активов
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Politico узнала о предложении ЕС отключить МКБ и Россельхозбанк от SWIFT
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Philip Morris купит производителя зажигалок Cricket за $16 млрд
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Pfizer и Sanofi отказались поставлять вакцины России по старым ценам
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,PGNiG сообщила о решении «Газпрома» остановить поставки газа Польше
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,OMV открыла рублевый счет в Газпромбанке и продолжила оплату газа в евро
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Nokia уйдет из России
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,New York Post узнала о планах Маска вложить $10–15 млрд в покупку Twitter
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,New York Post узнала о планах Маска вложить $10-15 млрд в покупку Twitter
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,New York Post узнала о желании Маска найти партнеров для покупки Twitter
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Netflix сообщил о потере подписчиков из-за ситуации вокруг Украины
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Netflix снимет спин-офф «Очень странных дел» и новую «Тетрадь смерти»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,"Netflix потерял вдвое меньше платных подписчиков, чем прогнозировал"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Netflix перестал открываться в России без VPN
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Netflix объявил кастинг на реалити-шоу «Игра в кальмара»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Netflix введет дешевый тариф с рекламой из-за падения числа подписчиков
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,Netflix анонсировал второй сезон «Игры в кальмара»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,NYT узнала о плане Маска увеличить доход Twitter в пять раз
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,NYT узнала о переносе Apple выпуска VR-гарнитуры по техническим причинам
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Moody's сообщило о дефолте России по евробондам
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Moody's сообщило о дефолте Белоруссий по внешнему долгу
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Moody's сообщило о дефолте Белоруссии по внешнему долгу
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Moody's предрек России дефолт при невыплате долларов инвесторам к 4 мая
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Moody's оценило последствия гипотетического конфликта России и НАТО
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Moody's оценило возможности криптовалют для России в условиях санкций
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Moody's отозвало рейтинги России и ее регионов
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Moody's отозвал рейтинги России и ее регионов
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Moody's назвало семь рисков для экономик G20
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Mastercard потеряла $26 млн во 2 квартале от приостановки деятельности в России
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Lloyd's List узнал о продаже «Совкомфлотом» трети судов из-за санкций
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Kraft Heinz продает свой бизнес по производству детского питания в России - газета
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Kraft Heinz откашивает от России // Компания продает бизнес по производству детского питания
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Johnson & Johnson приостановит поставки средств личной гигиены в Россию
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,JPMorgan предупредил об «опасной близости» экономики США к рецессии
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,IBM объявила о прекращении работы в России
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Handelsblatt узнал об угрозе национализации дочки «Газпрома» в ФРГ
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Halliburton свернет ряд контрактов в России к середине мая
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,"Forbes узнал, что VK и «Сбер» обсуждают раздел активов СП для продажи"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Forbes узнал о планах VK заменить Booking и Airbnb
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Forbes назвал претендентов на покупку «Кухни на районе» у VK и «Сбера»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,FT узнала об интересе Экспобанка и «РЕСО-Гарантии» к активам Citigroup
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,FT узнала о планах ЕС предъявить Apple новое антимонопольное обвинение
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Eni начала процедуру открытия счетов в Газпромбанке
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Enel продаст долю в российской «дочке» ЛУКОЙЛу и «Газпромбанк-Фрезия»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Economist сообщил о прекращении работы IBM в России
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Citi и JPMorgan прекратят корреспондентские отношения с банками России
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Citi и JPMorgan закрывают корреспондентские счета российских банков
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Cisco решила уйти из России и Белоруссии
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,"CNBC узнал, что в Белом доме опасаются возвращения Трампа в Twitter"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,CNBC узнал о планах Маска побыть гендиректором Twitter несколько месяцев
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Broadcom сообщил о покупке производителя ПО VMware за $61 млрд
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Booking рассказал о влиянии спецоперации на Украине на динамику броней
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,"Booking отчитался об уплате штрафа в ₽1,3 млрд по антимонопольному делу"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Boeing-777 «Аэрофлота» совершил аварийную посадку в Южно-Сахалинске
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,"Bloomberg узнал, что переговоры по продаже Twitter Маску близки к финалу"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Bloomberg узнал о разработке новых ноутбуков Apple
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Bloomberg узнал о плане Apple сократить найм сотрудников
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Bloomberg узнал о письме «Газпрома» клиентам в Европе об оплате газа
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Bloomberg узнал о передаче хакерам данных пользователей Meta и Apple
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Bloomberg узнал о переговорах VK и Потанина с Prosus о покупке Avito
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,"Bloomberg узнал о еще 10 фирмах, открывших рублевые счета в Газпромбанке"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Bloomberg узнал детали иска Twitter против Илона Маска
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Bell сообщил о переговорах VK и «Сбера» о продаже Delivery Club «Яндексу»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Bayer качает права в России // Фармкомпания рассчитывает на компенсации
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,"Apple, Microsoft и Google внедрят беспарольную авторизацию до 2023 года"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Apple создала «режим локдауна» для защиты устройств от шпионских программ
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Apple раздали российские карты // На устройствах компании работает только приложение «СБПэй»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Apple прекратила выпуск iPod
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Apple представила iOS 16 с новым экраном блокировки и системой виджетов
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,"Apple отчиталась о рекордной выручке в $97,3 млрд за квартал"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,"Apple обошла Amazon, став самым дорогим брендом"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Apple впервые оштрафовали за отказ локализовать данные россиян
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Alibaba сменит статус листинга на Гонконгской фондовой бирже
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,AirPods стряхнули с ушей // В магазинах растет спрос на копии наушников от Apple
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Adidas исключил возобновление работы в России в скором времени
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,"""Юнипро"" увеличила выработку электроэнергии в 1 полугодии на 17,1%"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,"""Энел Россия"" увеличила состав своего правления"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,"""НОВАТЭК"" принял решение не публиковать финотчетность за 2 квартал и 1 полугодие 2022 года"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,"""НОВАТЭК"" намерен сменить основных подрядчиков для проекта ""Арктик СПГ-2"" - СМИ"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,"""Мосэнерго"" не будет публиковать финансовую отчетность за 1 полугодие"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,"""Магнит"" и X5 запускают фудшеринг"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,"""Лента"" планирует к 2025 году удвоить выручку до 1 трлн рублей"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,"""ЛУКОЙЛ"" и ""Росатом"" будут работать в сфере поставок оборудования для нефтегазовой отрасли"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,"""КуйбышевАзот"" зафиксировал рост выработки основных видов продукции в 1 полугодии"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,"""Газпром"" прекратил поставки газа в Латвию"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,"""Газпром"" опубликовал часть документов по КС ""Портовая"""
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,"""Газпром нефть"" испытала российские поверхностно-активные вещества"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,"""Аэрофлот"" запускает прямые рейсы из Сочи в Дубай"
